cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2019-3498,django,High,False,,0.01439,0.8066,no,,,,,,,c669cf279ae7b3e02a61db4fb077030a4db80e4f | 8c85c8692240e5ae4b568eb4272475fe1fa4b059 | df591468251ed489a3e147d7c359f387f4effe66,2c9dbe9226478e3c04cb2ec3bbbf18462ae87efb | 2b865f4c59411239abbab3f94444d3c42850c2f1 | 066f26fe8b98609726f7962c21de7233afb4ff7e,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,3.0
CVE-2019-6975,django,High,False,,0.18399,0.95206,no,,,,,,,,1cdba624d55d5c2fe3c74fff1fb5fb17b126821d | be439e58768cd827ca8ac8ff9263c4aae0f75907 | 79a6e7798fec3de342c687b4a6d512c499c1f972,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2020-10650,jackson-databind,High,False,,0.09853,0.92964,no,,https://github.com/FasterXML/jackson-databind/commit/a424c038ba0c0d65e579e22001dec925902ac0ef,,https://github.com/FasterXML/jackson-databind/commit/a424c038ba0c0d65e579e22001dec925902ac0ef,,GHSA-rpr3-cw39-3pxh,,1d919062ec351a925a628be2986224383c27f561 | a424c038ba0c0d65e579e22001dec925902ac0ef,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-10672,jackson-databind,High,False,,0.4007,0.97316,no,,,,,,,e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8 | a5807c566af27b184731dd4eb7dfcc420962db32,1d919062ec351a925a628be2986224383c27f561,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-10673,jackson-databind,High,False,,0.20473,0.95525,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8 | a5807c566af27b184731dd4eb7dfcc420962db32,fe5805bb27111c6fd010b04e7dc92a7536869301 | 1d919062ec351a925a628be2986224383c27f561,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-10968,jackson-databind,High,False,,0.04028,0.88441,no,,,,,,,e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8 | a5807c566af27b184731dd4eb7dfcc420962db32,1d919062ec351a925a628be2986224383c27f561,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-10969,jackson-databind,High,False,,0.01035,0.7733,no,,,,,,,50791cc7856376949287e0be3e96147665ab8f68 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8 | a5807c566af27b184731dd4eb7dfcc420962db32,e8697cdbf415028b171f9b7698f3308eda00a3c7 | 1d5273df752a3912dfb8afe97a16a1a1db634839 | 1d919062ec351a925a628be2986224383c27f561,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-11022,jquery,Medium,False,,0.03251,0.87079,no,,https://github.com/jquery/jquery/commit/1d61fd9407e6fbe82fe55cb0b938307aa0791f77,,https://github.com/jquery/jquery/commit/1d61fd9407e6fbe82fe55cb0b938307aa0791f77,,,497914920385b7016ac9c9367e0198530787adf2 | 17ba30046ed57677de4feff8d07354890b40efdb | f2b59e3ae8097ea01d15c708f1267b73794399c0 | 35c2f3ca5c935f3d8bde15932a712677c9bbd50f | 766daeb0449588db7207606c22bcf7b59d1f6f9b | ce256312d518e16a6ee7df5f7f301b8bf9a1caf2,c62d5ba13e02923cf4f6e2a7ede0d2afcaa68043 | ee0693f6d6bdc5cd772e163e6ed410567d82d33f | ed3ab8ae68db8942877b5d6d8f3f91f090cd63fb | 7a0a850f3d41c0412609c1d32b1e602d4afe2f4e | 1d61fd9407e6fbe82fe55cb0b938307aa0791f77,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2020-11023,jquery,Medium,True,2025-01-23,0.36851,0.97125,no,,,,,,,497914920385b7016ac9c9367e0198530787adf2 | 17ba30046ed57677de4feff8d07354890b40efdb | f2b59e3ae8097ea01d15c708f1267b73794399c0 | d6c7b4cf627ab409c595e1c76bf0a8deadbc7feb | d50941ce25ee8c7586bd98ccbf8892190a8d3052 | 4e3da33c59fafe34e237585743e86e24ba81046e,c62d5ba13e02923cf4f6e2a7ede0d2afcaa68043 | ee0693f6d6bdc5cd772e163e6ed410567d82d33f | ed3ab8ae68db8942877b5d6d8f3f91f090cd63fb | 7a0a850f3d41c0412609c1d32b1e602d4afe2f4e,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2020-11078,httplib2,Medium,False,,0.03277,0.87129,no,,https://github.com/httplib2/httplib2/commit/a1457cc31f3206cf691d11d2bf34e98865873e9e,,https://github.com/httplib2/httplib2/commit/a1457cc31f3206cf691d11d2bf34e98865873e9e,,,,8373177d3a9e4dd9c956f9bded22a5f96a00957b | a1457cc31f3206cf691d11d2bf34e98865873e9e,6.8,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:N/I:H/A:N,3.1
